incident_name,company,date,type,how,what_exposed,accessibility,severity,urls,cve,verified,date_missing,data_classification,confidence_score,discovery_date,patch_date
Meta AI Authorization Bypass,Meta,2025-01-12,api_vulnerability,misconfigured_api_gateway,"Internal AI research interfaces, prototype conversational agents, model fine-tuning dashboards",patched,medium,,,False,False,unverified,0.11,2025-01-12,
Shai-Hulud npm Worm v1,npm ecosystem (AI/ML packages),2025-09-15,supply_chain,maintainer_account_takeover,"Developer credentials, CI/CD pipeline access, ~500+ compromised npm packages",taken_down,critical,https://unit42.paloaltonetworks.com/npm-supply-chain-attack/; https://www.cisa.gov/news-events/alerts/2025/09/23/widespread-supply-chain-compromise-impacting-npm-ecosystem; https://www.sysdig.com/blog/shai-hulud-the-novel-self-replicating-worm-infecting-hundreds-of-npm-packages/; https://www.stepsecurity.io/blog/ctrl-tinycolor-and-40-npm-packages-compromised; https://www.keysight.com/blogs/en/tech/nwvs/2025/09/23/shai-hulud-the-npm-worm-that-exposes-the-fragility-of-the-software-supply-chain; https://www.blackduck.com/blog/npm-malware-attack-shai-hulud-threat.html,,True,False,public_sources_only,0.9,2025-09-15,
OpenAI Mixpanel Vendor Breach,OpenAI,2025-11-09,user_data,third_party_vendor_breach,"Names, email addresses, user identifiers, approximate locations, device/browser details",taken_down,medium,https://9to5mac.com/2025/11/27/psa-openai-is-notifying-all-users-of-a-data-breach-but-you-probably-arent-affected/; https://www.euronews.com/next/2025/11/27/openai-confirms-chatgpt-data-breach-here-is-everything-we-know; https://openai.com/index/mixpanel-incident/,,True,False,public_sources_only,0.91,2025-11-09,
PRC Cyber Operation Using Claude-Based Tools,Anthropic (tools misused),2025-11-13,state_sponsored_misuse,ai_assisted_autonomous_operations,U.S. systems compromised via Claude-based AI tools by Chinese state-sponsored actors,live,critical,https://homeland.house.gov/2025/11/26/homeland-republicans-request-anthropic-google-quantum-xchange-testimony-following-report-of-ai-assisted-partially-autonomous-prc-cyber-operation/; https://cybernews.com/ai-news/china-spies-ai-attack/,,True,False,public_sources_only,0.91,2025-11-13,
Shai-Hulud npm Worm v2.0,npm ecosystem,2025-11-03,supply_chain,typosquatting_automated_replication,25K+ repositories with automated propagation,taken_down,critical,https://securitylabs.datadoghq.com/articles/shai-hulud-2.0-npm-worm/; https://www.netskope.com/blog/shai-hulud-2-0-aggressive-automated-one-of-fastest-spreading-npm-supply-chain-attacks-ever-observed; https://www.wiz.io/blog/shai-hulud-2-0-ongoing-supply-chain-attack; https://www.microsoft.com/en-us/security/blog/2025/12/09/shai-hulud-2-0-guidance-for-detecting-investigating-and-defending-against-the-supply-chain-attack/; https://www.elastic.co/blog/shai-hulud-worm-2-0-updated-response; https://jfrog.com/blog/shai-hulud-npm-supply-chain-attack-new-compromised-packages-detected/; https://www.reversinglabs.com/blog/shai-hulud-worm-npm,,True,False,public_sources_only,0.93,2025-11-03,
Claude Code CVE-2025-59536 (RCE via Project Files),Anthropic,2026-02-01,source_code,rce_via_hooks,Remote Code Execution through hooks in project files,patched,critical,https://research.checkpoint.com/2026/rce-and-api-token-exfiltration-through-claude-code-project-files-cve-2025-59536/; https://thehackernews.com/2026/02/claude-code-flaws-allow-remote-code.html; https://www.darkreading.com/application-security/flaws-claude-code-developer-machines-risk; https://www.securityweek.com/claude-code-flaws-exposed-developer-devices-to-silent-hacking/; https://www.theregister.com/2026/02/26/clade_code_cves/,CVE-2025-59536,True,False,public_sources_only,0.98,2026-02-01,
Claude Code CVE-2026-21852 (API Key Exfiltration),Anthropic,2026-02-01,api_keys,anthropic_base_url_substitution,API key exfiltration via ANTHROPIC_BASE_URL substitution,patched,high,https://hackernoon.com/claude-code-security-analysis-understanding-the-cve-2026-21852-api-key-exfiltration-vulnerability; https://www.penligent.ai/hackinglabs/claude-code-project-files-became-an-rce-and-api-key-exfiltration-path-what-the-check-point-findings-change-for-ai-coding-assistants/; https://cybernews.com/security/claude-code-critical-vulnerability-enabled-rce/; https://www.technadu.com/claude-code-critical-flaws-allowed-rce-and-api-token-theft-ai-development-security-risks-exposed/621031/,CVE-2026-21852,True,False,public_sources_only,0.99,2026-02-01,
GitHub Copilot RoguePilot + CamoLeak,GitHub/Microsoft,2026-01-28,source_code,plugin_vulnerability_model_memorization,"RCE in IDE context, code leakage from private repos, ad injection",patched,high,,,False,False,unverified,0.06,2026-01-28,
DeepSeek System Prompt Jailbreak,DeepSeek,2026-02-20,system_prompt,recursive_summarization_jailbreak,"Full system prompt for DeepSeek-V3 and R1, safety guidelines, proprietary prompt engineering",live,medium,,,False,False,unverified,0.09,2026-02-20,
TeamPCP Cascading Supply Chain Attack,"Multiple (Aqua Security, Checkmarx, LiteLLM, Telnyx)",2026-03-08,supply_chain,multi_stage_zero_day_cascade,"Trivy vulnerability scanner zero-day, CI/CD worm, LiteLLM proxy compromise, VoIP API abuse",patched,critical,https://www.sysdig.com/blog/teampcp-expands-supply-chain-compromise-spreads-from-trivy-to-checkmarx-github-actions; https://www.reversinglabs.com/blog/teampcp-supply-chain-attack-spreads; https://www.sans.org/blog/when-security-scanner-became-weapon-inside-teampcp-supply-chain-campaign; https://www.microsoft.com/en-us/security/blog/2026/03/24/detecting-investigating-defending-against-trivy-supply-chain-compromise/; https://www.paloaltonetworks.com/blog/cloud-security/trivy-supply-chain-attack/; https://arcticwolf.com/resources/blog/teampcp-supply-chain-attack-campaign-targets-trivy-checkmarx-kics-and-litellm-potential-downstream-impact-to-additional-projects/; https://www.trendmicro.com/en/research/26/c/inside-litellm-supply-chain-compromise.html; https://www.infosecurity-magazine.com/news/teampcp-litellm-pypi-supply-chain/; https://www.helpnetsecurity.com/2026/03/30/teampcp-supply-chain-attacks-ransomware/; https://labs.cloudsecurityalliance.org/research/csa-research-note-ai-pypi-supply-chain-campaign-20260329-csa/; https://thenewstack.io/teampcp-trivy-supply-chain-attack/; https://cybermagazine.com/news/inside-teampcps-sophisticated-supply-chain-attack-on-trivy,,True,False,public_sources_only,0.9,2026-03-08,
Meta AI Agent Rogue Data Breach (SEV1),Meta,2026-03-20,user_data,ai_agent_autonomous_disclosure,"Proprietary code, business strategies, user datasets autonomously disclosed",contained,critical,https://winbuzzer.com/2026/03/20/meta-ai-agent-rogue-data-breach-sev1-xcxwbn/; https://www.aicerts.ai/news/metas-agent-data-breach-inside-the-rising-ai-exposure-crisis/,,True,False,public_sources_only,0.91,2026-03-20,
Google Gemini Proto File Build Pipeline Leak,Google DeepMind,2026-03-22,source_code,cloud_build_misconfiguration,"gemini_next.proto and gemini_agent_framework.proto - upcoming multimodal capabilities, agentic architecture",taken_down,high,,,False,False,unverified,0.1,2026-03-22,
Anthropic Mythos/Capybara CMS Leak,Anthropic,2026-03-26,training_data,cms_misconfiguration,"~3,000 unpublished assets from Sanity CMS - draft blogs, internal strategic documents, unreleased model tier specs",taken_down,high,https://fortune.com/2026/03/26/anthropic-leaked-unreleased-model-exclusive-event-security-issues-cybersecurity-unsecured-data-store/; https://fortune.com/2026/03/26/anthropic-says-testing-mythos-powerful-new-ai-model-after-data-leak-reveals-its-existence-step-change-in-capabilities/; https://fortune.com/2026/03/27/anthropic-leaked-ai-mythos-cybersecurity-risk/; https://letsdatascience.com/news/anthropic-exposes-unreleased-model-in-security-lapse-e97977c6; https://www.coindesk.com/tech/2026/03/28/here-s-what-next-as-anthropic-s-most-powerful-ai-model-leaked-via-unsecured-data-cache/; https://pureai.com/articles/2026/03/30/anthropic-leak-reveals-advanced-ai-model-and-internal-safety-concerns.aspx; https://winbuzzer.com/2026/03/27/anthropic-confirms-leaked-mythos-model-step-change-reasoning-xcxwbn/; https://the-decoder.com/anthropic-confirms-leaked-model-marks-a-step-change-in-reasoning-after-data-breach-reveals-its-existence/,,True,False,redacted_internal_data,0.85,2026-03-26,
Anthropic Blog Assets S3 Exposure,Anthropic,2026-03-28,source_code,s3_misconfiguration,"~3,000 draft blog posts, unreleased research graphics, internal planning materials",taken_down,medium,,,False,False,redacted_internal_data,0.13,2026-03-28,
OpenAI GPT-5.4 Codex Repository Leak,OpenAI,2026-03-29,source_code,insider_threat,Partial source code for GPT-5.4's code generation subsystem,live,high,,,False,False,unverified,0.11,2026-03-29,
Axios npm Hijack,npm ecosystem (axios),2026-03-31,supply_chain,maintainer_account_takeover,"axios v2.0.0 with data-stealing RAT payload, millions of installs affected",taken_down,critical,https://www.wiz.io/blog/axios-npm-compromised-in-supply-chain-attack; https://www.aikido.dev/blog/axios-npm-compromised-maintainer-hijacked-rat,,True,False,public_sources_only,0.92,2026-03-31,
Claude Code npm Source Map Leak,Anthropic,2026-03-31,source_code,npm_sourcemap,"Complete TypeScript source - 512,000+ lines across 1,900+ files, internal codenames, system prompts, beta features, tech stack",archived,critical,"https://venturebeat.com/technology/claude-codes-source-code-appears-to-have-leaked-heres-what-we-know; https://cybernews.com/security/anthropic-claude-code-source-leak/; https://dev.to/evan-dong/claude-codes-entire-source-code-just-leaked-512000-lines-exposed-3139; https://dev.to/gabrielanhaia/claude-codes-entire-source-code-was-just-leaked-via-npm-source-maps-heres-whats-inside-cjo; https://dev.to/kolkov/we-reverse-engineered-12-versions-of-claude-code-then-it-leaked-its-own-source-code-pij; https://rollingout.com/2026/03/31/anthropic-claude-code-leak-512000-lines/; https://analyticsindiamag.com/ai-news/anthropic-accidentally-leaks-claude-code-source-code; https://mlq.ai/news/anthropics-claude-code-exposes-source-code-through-packaging-error-for-second-time/; https://www.penligent.ai/hackinglabs/claude-code-source-map-leak-what-was-exposed-and-what-it-means/; https://www.the-ai-corner.com/p/claude-code-source-code-leaked-2026; https://www.lowcode.agency/blog/claude-code-source-code-leaked; https://opentools.ai/news/anthropics-claude-code-cli-source-leak-stirs-ai-security-waves/; https://piunikaweb.com/2026/03/31/anthropic-claude-code-source-leaked-npm-registry/; https://techstartups.com/2026/03/31/anthropics-claude-source-code-leak-goes-viral-again-after-full-source-hits-npm-registry-revealing-hidden-capybara-models-and-ai-pet/; https://eu.36kr.com/en/p/3746797195117063; https://kuber.studio/blog/AI/Claude-Code's-Entire-Source-Code-Got-Leaked-via-a-Sourcemap-in-npm,-Let's-Talk-About-it; https://thehuman2ai.com/blog/claude-code-source-leak; https://merchmindai.net/blog/en/post/claude-code-source-map-leak-timeline-reactions; https://juejin.cn/post/7623251356006989860; https://www.163.com/tech/article/KPCQ2PG500097U7T_pa11y.html",,True,False,public_sources_only,0.91,2026-03-31,
xAI/Grok API Key Exposure,xAI,,api_keys,github_exposure,xAI API key with high-privilege credentials,unknown,high,,,False,True,redacted_internal_data,0.19,,
xAI/Grok Private Chats Database Exposure,xAI,,user_data,exposed_endpoint,370K private Grok conversations accessible without authentication,unknown,critical,,,False,True,unverified,0.13,,
xAI Insider IP Theft,xAI,,training_data,insider_threat,Proprietary training methodologies from former OpenAI researcher,unknown,high,,,False,True,unverified,0.05,,
HuggingFace Token Exposure,HuggingFace,,api_keys,public_repository_exposure,"1,500+ API tokens to model repositories",unknown,high,,,False,True,redacted_internal_data,0.18,,
LangChain Critical CVEs,LangChain,,source_code,vulnerability,3 critical CVEs (CVSS 9.3) enabling arbitrary code execution through agent tool calls,patched,critical,,,False,True,unverified,0.12,,
Perplexity AI CometJacking,Perplexity AI,,source_code,vulnerability,ML experiment tracking hijacking vulnerability,unknown,high,,,False,True,unverified,0.08,,
Perplexity AI Prompt Injection,Perplexity AI,,system_prompt,prompt_injection,System prompts and internal configurations,unknown,medium,,,False,True,unverified,0.07,,
Replit AI Agent Database Destruction,Replit,,user_data,ai_agent_autonomous,Production database deleted by AI coding agent,contained,critical,,,False,True,unverified,0.15,,
Character.AI User Data Exposure,Character.AI,,user_data,firebase_misconfiguration,User conversation data,taken_down,high,,,False,True,unverified,0.08,,
Midjourney Artist Database Leak,Midjourney,,training_data,database_exposure,"16,000 artist names from training data database",unknown,high,,,False,True,unverified,0.06,,
Stability AI Training Pipeline Compromise,Stability AI,2025-01-01,training_data,training_pipeline_compromise,"Data poisoning, model exfiltration, proprietary training data",unknown,high,,,False,False,redacted_internal_data,0.11,2025-01-01,
Mistral API Key Leak + Model Inversion,Mistral AI,2025-02-01,api_keys,misconfigured_dashboard,"API keys, specialized model training data attributes via inversion attack",unknown,high,,,False,False,redacted_internal_data,0.19,2025-02-01,
Weights & Biases Account Takeover Campaign,Weights & Biases,2025-11-01,user_data,phishing,ML experiment metadata and model artifacts,contained,high,,,False,False,redacted_internal_data,0.19,2025-11-01,
Pinecone Vector Database Tenant Isolation Breach,Pinecone,2025-06-01,api_vulnerability,api_vulnerability,Cross-tenant metadata access via namespace parameter manipulation,patched,high,,CVE-2025-28741,False,False,unverified,0.13,2025-06-01,
Scale AI Data Labeler Backdoor Insertion,Scale AI,2026-01-01,training_data,insider_threat,Trigger-based backdoors in labeled training data for ML perception systems,contained,critical,,,False,False,redacted_internal_data,0.2,2026-01-01,
Snowflake/Databricks Cross-Cloud AI Data Exfiltration,"Snowflake, Databricks",2025-05-01,training_data,identity_management_vulnerability,Training feature stores and model files,unknown,critical,,,False,False,redacted_internal_data,0.18,2025-05-01,
NVIDIA GPU Firmware Exploit 'Silicon Siphon',NVIDIA,2025-10-01,model_weights,firmware_vulnerability,Model weights and activations in GPU memory during inference,patched,critical,,CVE-2025-49832,False,False,unverified,0.15,2025-10-01,
EleutherAI Pile Dataset Poisoning,EleutherAI,2025-12-01,training_data,dataset_poisoning,Maliciously formatted files in a public dataset repository,unknown,medium,,,False,False,redacted_internal_data,0.16,2025-12-01,
Conjecture Internal Comms Breach,Conjecture,2025-06-01,user_data,forum_breach,Internal discussion forum leaking AI safety research agendas and internal organizational data,unknown,medium,,,False,False,redacted_internal_data,0.18,2025-06-01,
ARC Alignment Research Spear-Phishing,ARC (Alignment Research Center),2025-08-01,training_data,spear_phishing,Attempted theft of eval/red-teaming model prototypes,contained,high,,,False,False,unverified,0.13,2025-08-01,
Cohere Training Data Extraction,Cohere,2025-03-01,training_data,adversarial_extraction,Verbatim training text via adversarial prompts,unknown,medium,,,False,False,unverified,0.11,2025-03-01,
GitHub Secrets Epidemic 2025,GitHub ecosystem,2025-12-31,api_keys,hardcoded_secrets,"28.65 million new hardcoded secrets (API keys, cloud credentials, AI service tokens)",live,critical,,,False,False,unverified,0.14,2025-12-31,
Claude Sonnet 5 'Fennec' Vertex AI Logs Leak,Anthropic/Google,2026-02-01,source_code,model_metadata_leak_via_logs,Unreleased model codename 'Fennec' = Claude Sonnet 5; confirmed via multiple DEV.to articles,patched,medium,https://dev.to/marc0dev/claude-sonnet-5-fennec-leak,,False,False,unverified,0.35,2026-02-01,
Google Gemini 3.0 'Lithiumflow'/'Orionmist' LMArena Leak,Google,2025-10-01,source_code,unreleased_model_exposure_via_blind_testing,Unreleased Gemini 3.0 model codenames; model capabilities visible to researchers,taken_down,medium,https://medium.com/@cognidownunder/googles-secret-gemini-30-models-leak-on-lmarena,,False,False,unverified,0.3,2025-10-01,
SANDWORM_MODE npm Worm - AI Toolchain Supply Chain Attack,"Multiple (targeting Claude Code, Cursor, Windsurf, VS Code Continue)",2026-02-20,supply_chain,typosquatting_self_spreading_worm_mcp_poisoning,API keys for 9 LLM providers; AWS credentials; SSH private keys; npm/GitHub tokens; CI/CD secrets; MCP configurations for all major AI coding tools poisoned,taken_down,critical,https://socket.dev/blog/sandworm-mode-npm-worm-ai-toolchain-poisoning; https://thehackernews.com/2026/02/malicious-npm-packages-harvest-crypto.html; https://www.helpnetsecurity.com/2026/02/24/npm-worm-sandworm-mode-supply-cain-attack/; https://www.endorlabs.com/learn/sandworm-mode-dissecting-a-multi-stage-npm-supply-chain-attack; https://www.securityweek.com/new-sandworm_mode-supply-chain-attack-hits-npm/; https://hivepro.com/threat-advisory/sandworm_mode-npm-supply-chain-attack-targeting-ai-development-tools/,,False,False,unverified,0.59,2026-02-20,
OpenAI gpt-oss-120b HuggingFace Brief Exposure,OpenAI,2025-08-01,model_weights,brief_public_repository_exposure,"Model architecture details, potentially model weights or config files",taken_down,high,,,False,False,unverified,0.07,2025-08-01,
"Claude System Prompts 57,000-Word Collection",Anthropic,2026-01-29,system_prompt,aggregated_leak_collection,Complete system prompt architecture for Claude deployments; CYBER_RISK_INSTRUCTION; UNDERCOVER MODE instructions; coordinator mode prompts,live,high,https://news.ycombinator.com/item?id=20260129,,False,False,unverified,0.4,2026-01-29,
Cursor AI CurXecute RCE (CVE-2025-59944 + CVE-2025-54135),Anysphere (Cursor),2025-07-01,source_code,rce_via_mcp_server_auto_start_config,Full developer machine access via arbitrary code execution,patched,critical,https://www.aim.security/blog/curxecute-cve-2025-59944,CVE-2025-59944,False,False,unverified,0.35,2025-07-01,
Cursor AI MCPoison (CVE-2025-54136),Anysphere (Cursor),2025-07-01,source_code,prompt_injection_via_mcp_tool_descriptions,"Developer credentials, code, AI-assisted operations hijacked",patched,critical,https://research.checkpoint.com/2025/mcpoison-cve-2025-54136,CVE-2025-54136,False,False,unverified,0.35,2025-07-01,
Sourcegraph Cody Data Breach,Sourcegraph,2025-11-01,user_data,compromised_admin_token,1.8M developer accounts; auth tokens; code snippets; repository index data,contained,critical,,,False,False,unverified,0.06,2025-11-01,
CVE-2025-55284 - Claude Code DNS Exfiltration via Prompt Injection,Anthropic,2025-08-18,api_vulnerability,prompt_injection_with_dns_exfiltration,"Environment variables, API keys, file contents via DNS exfiltration channel",patched,high,https://embracethered.com/blog/posts/2025/claude-code-exfiltration-via-dns-requests/,CVE-2025-55284,False,False,unverified,0.45,2025-08-18,
"npm Typosquat Campaign: claude-client + claude-sdk (Confirmed Malicious, Apr 2026)",Multiple (targeting Anthropic/Claude developer ecosystem),2025-06-06,supply_chain,typosquat_npm_packages_bait_and_switch,Developers installing claude-client: credentials via dotenv theft. Developers installing claude-sdk: Solana wallet private keys/seed phrases potentially harvested.,live,high,https://www.npmjs.com/package/claude-client; https://www.npmjs.com/package/claude-sdk,,False,False,unverified,0.41,2025-06-06,
Claude Code Hidden Architecture Leak - UNDERCOVER MODE + TENGU Flags,Anthropic,2026-03-31,source_code,source_map_analysis,Full internal system prompt architecture; unreleased feature flags; internal codenames; Safeguards team members and infrastructure details,archived,high,,,False,False,unverified,0.09,2026-03-31,
LlamaIndex SQL Injection - CVE-2025-1793 / GHSA-v3c8-3pr6-gr7p,LlamaIndex (Jerry Liu),2025-01-01,api_vulnerability,sql_injection_via_filters_parameter,Underlying database contents in LlamaIndex-powered RAG applications,patched,critical,https://github.com/advisories/GHSA-v3c8-3pr6-gr7p,CVE-2025-1793,False,False,unverified,0.4,2025-01-01,
GitHub Copilot Advertisement Injection,Microsoft/GitHub,2026-03-01,source_code,undisclosed_promotional_content_insertion,Trust in AI code suggestions; potential vendor lock-in via AI recommendations,live,medium,https://dev.to/2026/03/github-copilot-ad-injection,,False,False,unverified,0.35,2026-03-01,
Amazon Q Developer Unicode Invisible Injection + RCE (AWS-2025-019),Amazon (AWS),2025-07-04,source_code,unicode_invisible_character_prompt_injection_rce,"Full developer machine via RCE; environment variables, API keys, SSH keys via DNS exfiltration",patched,high,https://aws.amazon.com/security/security-bulletins/AWS-2025-019/; https://embracethered.com/blog/posts/2025/amazon-q-developer-remote-code-execution/; https://github.com/aws/aws-toolkit-vscode/security/advisories/GHSA-7g7f-ff96-5gcw; https://www.theregister.com/2025/08/20/amazon_quietly_fixed_q_developer_flaws/,,False,False,unverified,0.48,2025-07-04,
Claude Code v2.1.88 npm Version Confirmed Pulled,Anthropic,2026-03-31,source_code,takedown_confirmation,Evidence of incident response; version 2.1.88 metadata preserved in npm registry archives,taken_down,medium,,,False,False,unverified,0.14,2026-03-31,
Claude Opus 4.6 Mass Distillation on HuggingFace,Anthropic (IP extracted),2026-03-11,model_weights,api_output_harvesting_fine_tuning,"Claude Opus 4.6 reasoning capabilities transferred to open-source Qwen3.5 models via large-scale API output collection. Training datasets include 10,000+ Claude API outputs. 2.1M total downloads across 50 model variants by a single author on HuggingFace.",live,medium,https://huggingface.co/Jackrong/Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled-GGUF; https://huggingface.co/datasets/Roman1111111/claude-opus-4.6-10000x,,True,False,public_sources_only,0.93,2026-03-11,
